# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	48101
#@/user_id	2e78a248-4bb3-4f88-87b4-60fa7da6ab99
a 	啊	c=4 d=1.03765e-17 t=48101
deng deng ba 	等等吧	c=1 d=2.26572e-34 t=48101
deng hao 	等號	c=5 d=0.282108 t=48101
deng hou 	等候	c=1 d=1.04223e-16 t=48101
deng hui 	等會	c=1 d=1.06931e-53 t=48101
deng ji 	登機	c=2 d=4.88261e-08 t=48101
deng ji 	登記	c=3 d=1.51477e-07 t=48101
deng ji 	等級	c=3 d=0.00307331 t=48101
deng ji zheng 	登記證	c=1 d=5.26289e-08 t=48101
deng ju 	燈具	c=3 d=2.45712e-09 t=48101
deng le 	瞪了	c=1 d=3.98574e-32 t=48101
deng lu 	登錄	c=92 d=0.374953 t=48101
deng lu 	登陸	c=1 d=4.51629e-61 t=48101
deng nin 	等您	c=2 d=9.14709e-11 t=48101
deng pao 	燈泡	c=2 d=1.20715e-09 t=48101
deng shi 	燈飾	c=1 d=1 t=41672
deng ta 	等他	c=2 d=6.88321e-48 t=48101
deng wo 	等我	c=15 d=0.0296065 t=48101
deng yi hui 	等一會	c=1 d=4.00095e-18 t=48101
deng yi xia 	登一下	c=1 d=2.23769e-64 t=48101
deng yi xia 	等一下	c=1 d=3.1041e-32 t=48101
deng yu 	等於	c=3 d=0.0136366 t=48101
deng yu hao 	等於號	c=1 d=1 t=44795
deng zhe 	等着	c=1 d=4.67413e-24 t=48101
deng zhe wo 	等着我	c=1 d=1.37676e-85 t=48101
di 	低	c=4 d=0.0715338 t=48101
di 	底	c=3 d=1.14248e-67 t=48101
di 	第	c=6 d=0.582748 t=48101
di bang 	低帮	c=1 d=4.69406e-74 t=48101
di bu 	地步	c=1 d=3.70077e-71 t=48101
di bu 	底部	c=1 d=1.20416e-68 t=48101
di bu 	遞補	c=1 d=1.19816e-68 t=48101
di ceng 	底層	c=1 d=1.48202e-40 t=48101
di da 	滴答	c=1 d=1 t=46675
di di 	滴滴	c=1 d=1.15573e-85 t=48101
di dian 	地點	c=1 d=5.10338e-87 t=48101
di diao 	低調	c=1 d=6.51042e-40 t=48101
di er 	第二	c=2 d=7.1752e-07 t=48101
di er gao zhong 	第二高中	c=1 d=7.2103e-06 t=48101
di er ge 	第二個	c=4 d=9.01398e-15 t=48101
di er lan 	第二欄	c=1 d=1.58101e-36 t=48101
di er tian 	第二天	c=1 d=4.94261e-34 t=48101
di er tu 	第二圖	c=1 d=8.33823e-10 t=48101
di er xiang 	第二項	c=7 d=7.5213e-10 t=48101
di er zhong 	第二種	c=1 d=1 t=45965
di fang 	地方	c=17 d=2.60399e-07 t=48101
di gui 	遞歸	c=1 d=9.14524e-38 t=48101
di li 	地理	c=0 d=6.14591e-69 t=48101
di li lao shi 	地理老師	c=1 d=6.17671e-68 t=48101
di pei 	低配	c=2 d=7.473e-74 t=48101
di qu 	地區	c=2 d=4.73091e-19 t=48101
di que 	的確	c=1 d=1.4345e-39 t=48101
di sai mi song 	地塞米松	c=1 d=1.28823e-09 t=48101
di san 	第三	c=4 d=6.77612e-35 t=48101
di san fang 	第三方	c=12 d=0.759572 t=48101
di san lan 	第三欄	c=1 d=2.18817e-36 t=48101
di san xiang 	第三項	c=5 d=6.37391e-26 t=48101
di shang 	地上	c=2 d=8.83688e-46 t=48101
di si 	第四	c=2 d=2.97531e-31 t=48101
di si xiang 	第四項	c=3 d=7.15072e-26 t=48101
di tie 	地鐵	c=1 d=1 t=46410
di tie piao 	地铁票	c=1 d=1 t=46406
di tu 	地圖	c=16 d=1.66348e-46 t=48101
di wu 	第五	c=1 d=6.23687e-35 t=48101
di wu xiang 	第五項	c=5 d=7.29517e-26 t=48101
di xing neng 	低性能	c=1 d=0.718924 t=48101
di yi 	第一	c=10 d=1.82808e-09 t=48101
di yi bu 	第一步	c=10 d=0.0183156 t=48101
di yi ci 	第一次	c=10 d=1.12816e-26 t=48101
di yi ge 	第一個	c=14 d=8.87987e-15 t=48101
di yi shi jian 	第一時間	c=2 d=3.49808e-09 t=48101
di yi shuang 	第一雙	c=1 d=1.23465e-68 t=48101
di yi xiang 	第一項	c=29 d=0.277537 t=48101
di yi zhang 	第一張	c=3 d=7.11724e-08 t=48101
di yi zhong 	第一種	c=1 d=1 t=45961
di zhi 	地址	c=44 d=0.91086 t=48101
di zhi lan 	地址欄	c=1 d=1.34821e-15 t=48101
di zuo 	底座	c=1 d=1 t=41639
dian 	店	c=7 d=0.00110777 t=48101
dian 	電	c=3 d=1.06415e-55 t=48101
dian 	點	c=68 d=0.74071 t=48101
dian ba 	點吧	c=1 d=1.11548e-21 t=48101
dian bei 	墊背	c=1 d=8.60067e-51 t=48101
dian bu le 	點不了	c=1 d=3.8573e-29 t=48101
dian chi 	電池	c=1 d=1.394e-55 t=48101
dian dong 	電動	c=1 d=1 t=41121
dian fan guo 	電飯鍋	c=0 d=9.96813e-82 t=48101
dian fen 	澱粉	c=1 d=1.04778e-49 t=48101
dian fen tang 	澱粉糖	c=1 d=4.0273e-07 t=48101
dian gu 	典故	c=1 d=5.32178e-80 t=48101
dian hua 	電話	c=14 d=2.42114e-06 t=48101
dian hua hao ma 	電話號碼	c=1 d=5.40405e-84 t=48101
dian ji 	點擊	c=285 d=2.20121 t=48101
dian ji liang 	点击量	c=1 d=1 t=41181
dian ji qu 	點擊去	c=1 d=1 t=47034
dian jin qu 	點進去	c=3 d=3.90748e-34 t=48101
dian ka 	點卡	c=1 d=2.78899e-08 t=48101
dian kai 	點開	c=9 d=0.767206 t=48101
dian le 	點了	c=7 d=3.23804e-29 t=48101
dian le ma 	點了嗎	c=1 d=1.74669e-32 t=48101
dian li 	店裏	c=2 d=5.00683e-50 t=48101
dian nan 	滇南	c=1 d=1 t=47138
dian nao 	電腦	c=99 d=0.592872 t=48101
dian nao duan 	电脑端	c=7 d=1.03151e-12 t=48101
dian pu 	店鋪	c=37 d=3.80122 t=48101
dian pu ming 	店鋪名	c=1 d=1 t=46484
dian qian 	點錢	c=1 d=1.28351e-54 t=48101
dian re tan 	電熱毯	c=5 d=1.25317 t=48101
dian shang 	電商	c=35 d=7.63802e-50 t=48101
dian shi 	電視	c=2 d=0.396531 t=48101
dian shu 	點數	c=2 d=2.24625e-41 t=48101
dian wang 	電網	c=1 d=1.47112e-12 t=48101
dian xin 	電信	c=1 d=1.84633e-67 t=48101
dian xin 	點心	c=83 d=6.48359e-50 t=48101
dian yi xia 	點一下	c=2 d=5.27921e-15 t=48101
dian ying 	電影	c=4 d=0.00200924 t=48101
dian yuan jian 	电源键	c=1 d=1.70212e-22 t=48101
dian zhu 	店主	c=1 d=2.48247e-50 t=48101
dian zi 	電子	c=3 d=2.55685e-15 t=48101
dian zi ban 	電子版	c=1 d=5.10735e-08 t=48101
dian zi gou 	電子狗	c=1 d=9.68599e-08 t=48101
diao 	掉	c=5 d=1.39601e-13 t=48101
diao dong 	調動	c=1 d=4.29091e-47 t=48101
diao xiang 	雕像	c=1 d=3.05457e-78 t=48101
diao yi qing xin 	掉以輕心	c=2 d=2.00149e-62 t=48101
diao yong 	調用	c=1 d=1.49508e-55 t=48101
ding 	定	c=23 d=1.86876e-11 t=48101
ding bi 	定比	c=3 d=1.58122e-59 t=48101
ding bu 	頂部	c=3 d=4.10654e-80 t=48101
ding dan 	訂單	c=1 d=3.23078e-32 t=48101
ding dang 	叮噹	c=1 d=1.05572e-79 t=48101
ding de 	定的	c=0 d=0.1 t=44308
ding ding 	丁丁	c=1 d=3.99444e-87 t=48101
ding ding 	釘釘	c=4 d=1.45166e-61 t=48101
ding duo 	頂多	c=1 d=4.02772e-67 t=48101
ding gou 	訂購	c=2 d=9.53823e-33 t=48101
ding jia 	定價	c=5 d=1.23452e-08 t=48101
ding sheng 	鼎盛	c=1 d=4.31448e-82 t=48101
ding shi 	定時	c=4 d=0.771052 t=48101
ding wei 	定位	c=3 d=6.25522e-61 t=48101
ding yi 	定義	c=5 d=9.49566e-13 t=48101
ding yue 	訂閱	c=88 d=2.07339 t=48101
ding zhi 	定製	c=1 d=1.79891e-55 t=48101
ding zi ku 	丁字褲	c=1 d=1 t=46384
diu 	丟	c=3 d=0.621885 t=48101
diu diao 	丟掉	c=1 d=1 t=41289
diu guo lai 	丟過來	c=1 d=8.65906e-13 t=48101
diu jian 	丟件	c=23 d=2.17044e-11 t=48101
diu le 	丟了	c=1 d=7.41197e-07 t=48101
diu qi 	丟棄	c=1 d=2.62641e-66 t=48101
diu shi 	丟失	c=2 d=9.07952e-12 t=48101
dock er 	Dock而	c=1 d=1.51768e-55 t=48101
dong 	懂	c=3 d=0.000281606 t=48101
dong 	東	c=1 d=3.56669e-78 t=48101
dong cheng qu 	東城區	c=1 d=1 t=45200
dong de 	懂得	c=1 d=1.70027e-68 t=48101
dong dong nao jin 	動動腦筋	c=1 d=1.87131e-78 t=48101
dong hua 	動畫	c=27 d=2.753e-61 t=48101
dong le 	動了	c=1 d=8.18373e-84 t=48101
dong le 	懂了	c=1 d=1 t=47005
dong tai 	動態	c=5 d=0.0539337 t=48101
dong tan 	動彈	c=1 d=5.70959e-84 t=48101
dong tian 	冬天	c=1 d=1 t=40994
dong wu 	動物	c=2 d=1.97531 t=46409
dong xi 	東西	c=17 d=0.000254808 t=48101
dong zhi wu 	動植物	c=1 d=1 t=41727
dou 	都	c=124 d=0.00282343 t=48101
dou bu shi 	都不是	c=1 d=3.25881e-16 t=48101
dou de 	都得	c=1 d=5.91738e-34 t=48101
dou di zhu 	鬥地主	c=1 d=7.18854e-88 t=48101
dou dong 	抖動	c=1 d=3.75351e-61 t=48101
dou dou 	豆豆	c=1 d=5.92645e-52 t=48101
dou hao 	逗號	c=1 d=1 t=45969
dou hui 	都會	c=3 d=4.36332e-38 t=48101
dou ke 	都可	c=1 d=1 t=44013
dou ke yi 	都可以	c=13 d=0.290835 t=48101
dou kou 	豆蔻	c=1 d=7.08898e-71 t=48101
dou mei 	都沒	c=2 d=6.58742e-51 t=48101
dou mei dai 	都沒帶	c=1 d=8.26343e-51 t=48101
dou neng 	都能	c=1 d=1.62241e-46 t=48101
dou qu 	都去	c=1 d=1.24468e-75 t=48101
dou sha se 	豆沙色	c=1 d=4.55533e-74 t=48101
dou shi 	都是	c=39 d=0.00553892 t=48101
dou yao 	都要	c=1 d=1.91281e-42 t=48101
dou yi yang 	都一樣	c=5 d=1.71478e-21 t=48101
dou yin 	抖音	c=11 d=3.09935e-14 t=48101
dou ying 	都應	c=1 d=2.19145e-83 t=48101
dou you 	都有	c=5 d=7.25502e-38 t=48101
dou zai 	都在	c=2 d=1.84382e-51 t=48101
du 	堵	c=1 d=6.84654e-44 t=48101
du 	度	c=1 d=2.05388e-85 t=48101
du 	毒	c=5 d=0.0297478 t=48101
du 	讀	c=5 d=0.000241435 t=48101
du 	都	c=0 d=2.06313e-80 t=48101
du bo 	讀博	c=3 d=1.61273e-05 t=48101
du de 	讀的	c=1 d=1.81637e-51 t=48101
du er de jiao yuan 	都爾德郊原	c=1 d=2.07347e-79 t=48101
du hao shu 	讀好書	c=1 d=2.28484e-74 t=48101
du le 	讀了	c=1 d=6.27006e-68 t=48101
du li 	獨立	c=2 d=1.6371e-05 t=48101
du lun wen 	讀論文	c=1 d=1.66184e-05 t=48101
du sheng nv 	獨生女	c=1 d=1.30877e-48 t=48101
du shi 	都市	c=1 d=4.33832e-88 t=48101
du shu 	讀書	c=0 d=0.1 t=44978
du shu hao 	讀書好	c=1 d=2.27345e-74 t=48101
du si 	堵死	c=2 d=2.12429e-62 t=48101
du xie 	毒鞋	c=21 d=1.43649e-55 t=48101
du yan 	讀研	c=3 d=0.000204562 t=48101
du yong 	都用	c=0 d=7.85933e-21 t=48101
du yong wo men 	都用我們	c=1 d=7.89873e-20 t=48101
du zi 	肚子	c=0 d=6.18302e-81 t=48101
duan 	端	c=20 d=0.316637 t=48101
duan dian 	斷點	c=1 d=1.12394e-51 t=48101
duan kou 	端口	c=13 d=1.59705 t=48101
duan kou hao 	端口號	c=11 d=0.348192 t=48101
duan le 	短了	c=1 d=4.39177e-85 t=48101
duan luo 	段落	c=1 d=2.16632e-65 t=48101
duan ni 	端倪	c=1 d=1.81427e-08 t=48101
duan shi pin 	短視頻	c=4 d=7.10779e-14 t=48101
duan tou tai 	斷頭臺	c=1 d=1.92731e-72 t=48101
duan wang 	斷網	c=1 d=9.17516e-47 t=48101
duan xin 	短信	c=7 d=0.000521245 t=48101
duan yu 	短語	c=1 d=1 t=41860
dui 	對	c=57 d=0.0746459 t=48101
dui 	懟	c=1 d=8.306e-82 t=48101
dui bi 	對比	c=3 d=1.67535e-12 t=48101
dui bu qi 	對不起	c=1 d=2.94719e-10 t=48101
dui dai 	對待	c=3 d=3.74533e-57 t=48101
dui de 	對的	c=35 d=0.0896234 t=48101
dui de ha 	對的哈	c=1 d=1 t=46623
dui de ma 	對的嗎	c=1 d=1.20154e-13 t=48101
dui fang 	對方	c=1 d=9.80104e-88 t=48101
dui gong 	對公	c=1 d=1.42691e-06 t=48101
dui gong 	對攻	c=2 d=9.41922e-07 t=48101
dui gong zhang hu 	對公賬戶	c=1 d=5.01832e-07 t=48101
dui hua 	對話	c=1 d=3.21641e-09 t=48101
dui huan 	兌換	c=1 d=2.75253e-59 t=48101
dui kou 	對口	c=1 d=6.11942e-76 t=48101
dui mian 	對面	c=1 d=1.0345e-46 t=48101
dui nei 	對內	c=1 d=3.14598e-72 t=48101
dui qi 	對齊	c=2 d=6.07318e-70 t=48101
dui ta men 	對他們	c=1 d=3.33246e-73 t=48101
dui wai 	對外	c=1 d=3.69574e-55 t=48101
dui wo 	對我	c=5 d=0.000371641 t=48101
dui xian 	兌現	c=1 d=3.78531e-72 t=48101
dui xiang 	對象	c=3 d=1.92744e-14 t=48101
dui ying 	對應	c=3 d=3.88179e-74 t=48101
dui yu 	對於	c=6 d=0.000130059 t=48101
dui zhang 	隊長	c=1 d=1.56683e-77 t=48101
dun 	燉	c=1 d=9.1325e-51 t=48101
dun 	頓	c=2 d=9.98033e-66 t=48101
dun hao 	頓號	c=2 d=1.95064 t=48101
dun huang wang 	敦煌网	c=2 d=2.24234e-59 t=48101
dun qi 	蹲起	c=2 d=6.15642e-50 t=48101
duo 	多	c=58 d=0.156061 t=48101
duo bu 	多不	c=1 d=6.16496e-75 t=48101
duo ci 	多次	c=5 d=9.48957e-09 t=48101
duo da 	多大	c=1 d=6.64646e-48 t=48101
duo de 	多的	c=1 d=5.2249e-12 t=48101
duo de hen 	多得很	c=1 d=1.61542e-54 t=48101
duo duan 	多端	c=1 d=1.31506e-75 t=48101
duo duo 	多多	c=1 d=5.30387e-12 t=48101
duo ge 	多個	c=13 d=0.88692 t=48101
duo hang 	多行	c=6 d=3.27872e-59 t=48101
duo he 	多喝	c=1 d=5.77914e-50 t=48101
duo jia 	多加	c=1 d=1.55663e-59 t=48101
duo jin cheng 	多進程	c=1 d=1.43479e-12 t=48101
duo jiu 	多久	c=14 d=0.869486 t=48101
duo kai 	多開	c=3 d=4.26485e-16 t=48101
duo le 	多了	c=6 d=2.09986e-23 t=48101
duo mi 	多米	c=2 d=7.63133e-46 t=48101
duo nian 	多年	c=1 d=1.47588e-50 t=48101
duo ren 	多人	c=1 d=2.71571e-77 t=48101
duo shao 	多少	c=29 d=1.68724e-07 t=48101
duo shao du 	多少度	c=1 d=4.80388e-52 t=48101
duo shao ge 	多少個	c=1 d=2.33433e-32 t=48101
duo shao qian 	多少錢	c=17 d=4.11929e-08 t=48101
duo shao ren 	多少人	c=1 d=2.5647e-51 t=48101
duo shi shi 	多試試	c=1 d=1 t=46937
duo shuo 	多說	c=1 d=7.4014e-49 t=48101
duo tai 	多臺	c=2 d=1.41651 t=48101
duo xian cheng 	多線程	c=3 d=1.42764e-12 t=48101
duo xie 	多謝	c=1 d=0.0422141 t=48101
e 	俄	c=1 d=1 t=42144
e 	額	c=4 d=1.18e-07 t=48101
e du 	額度	c=2 d=6.25534e-11 t=48101
e wai 	額外	c=1 d=1 t=40818
e yi 	惡意	c=1 d=1 t=43092
e zhi 	遏制	c=1 d=7.04882e-63 t=48101
en 	嗯	c=267 d=0.208736 t=48101
en 	恩	c=12 d=1.40818 t=48101
en en 	嗯嗯	c=77 d=1.02719 t=48101
en en dui de 	嗯嗯對的	c=1 d=5.42871e-20 t=48101
er 	二	c=32 d=0.137768 t=48101
er 	兒	c=1 d=3.67242e-10 t=48101
er 	而	c=6 d=4.24533e-39 t=48101
er bu shi 	而不是	c=1 d=1.82324e-66 t=48101
er ci 	二次	c=4 d=1.02193 t=46121
er ci xiao shou 	二次銷售	c=1 d=2.2892e-67 t=48101
er de 	爾德	c=0 d=2.06313e-80 t=48101
er hao men 	二號門	c=1 d=5.2299e-81 t=48101
er ji 	二級	c=7 d=1.03788 t=47995
er ji 	耳機	c=1 d=1 t=46421
er qie 	而且	c=10 d=0.130764 t=48101
er shou 	二手	c=1 d=1 t=41644
er wei ma 	二維碼	c=8 d=7.57421e-15 t=48101
er yan 	而言	c=2 d=0.000303012 t=48101
fa 	法	c=5 d=1.80989e-09 t=48101
fa 	發	c=58 d=0.0127784 t=48101
fa ba 	發吧	c=1 d=5.81404e-62 t=48101
fa biao 	發表	c=5 d=3.79556e-73 t=48101
fa bing lv 	發病率	c=1 d=0.000343955 t=48101
fa bu 	發佈	c=27 d=0.525544 t=48101
fa chu lai 	發出來	c=2 d=5.79077e-66 t=48101
fa de 	發的	c=5 d=1.32768e-11 t=48101
fa diao 	發掉	c=1 d=1.1164e-60 t=48101
fa fang 	發放	c=2 d=1.01367e-71 t=48101
fa ge 	發個	c=3 d=6.31371e-32 t=48101
fa gei 	發給	c=4 d=4.25269e-30 t=48101
fa gei ni 	發給你	c=4 d=3.0658e-33 t=48101
fa gei nin 	發給您	c=4 d=1.07174e-21 t=48101
fa gei wo 	發給我	c=6 d=9.52039e-11 t=48101
fa gong zi 	發工資	c=6 d=7.71906e-58 t=48101
fa hui 	發揮	c=1 d=0.000290183 t=48101
fa huo 	發貨	c=20 d=0.0333764 t=48101
fa jian 	发件	c=1 d=1 t=43005
fa jiao cheng 	發教程	c=1 d=1.73231e-23 t=48101
fa lai 	發來	c=1 d=9.98575e-43 t=48101
fa le 	發了	c=11 d=0.597501 t=48101
fa le ma 	發了嗎	c=1 d=2.83009e-33 t=48101
fa le mei 	發了沒	c=1 d=2.72459e-86 t=48101
fa lv 	法律	c=1 d=1.00068e-08 t=48101
fa qi 	發起	c=1 d=1 t=46715
fa re 	發熱	c=1 d=4.57178e-87 t=48101
fa san 	發散	c=1 d=6.06491e-59 t=48101
fa sheng 	發生	c=7 d=7.72283e-12 t=48101
fa sheng de 	發生地	c=1 d=1 t=40974
fa shi pin 	發視頻	c=2 d=1.22786e-62 t=48101
fa shou 	發售	c=1 d=1 t=41693
fa song 	發送	c=33 d=0.257832 t=48101
fa tie ren 	发帖人	c=1 d=1.24986e-65 t=48101
fa tu 	发图	c=1 d=2.20715e-20 t=48101
fa wang 	發往	c=1 d=1 t=46444
fa wen 	發文	c=5 d=2.67821e-61 t=48101
fa wen zhang 	發文章	c=1 d=2.50998e-62 t=48101
fa wo 	發我	c=8 d=1.43504e-14 t=48101
fa wo 	罰我	c=1 d=2.14805e-83 t=48101
fa xian 	發現	c=10 d=0.0904837 t=48101
fa xing 	發行	c=2 d=1.12047e-44 t=48101
fa xue 	法學	c=1 d=1 t=45042
fa yan quan 	發言權	c=1 d=9.17642e-78 t=48101
fa yi bian 	發一遍	c=1 d=1 t=42595
fa yi xia 	發一下	c=2 d=1.17327e-27 t=48101
fa you jian 	發郵件	c=1 d=7.55864e-61 t=48101
fa zai 	發在	c=1 d=2.55451e-63 t=48101
fa zhan 	發展	c=2 d=0.000223746 t=48101
fan 	煩	c=1 d=1 t=44322
fan bing bing 	范冰冰	c=1 d=6.27967e-86 t=48101
fan fu 	反覆	c=2 d=2.72013e-08 t=48101
fan guan 	飯館	c=1 d=2.69564e-78 t=48101
fan guo qu 	翻過去	c=1 d=9.13376e-82 t=48101
fan hui 	返回	c=11 d=0.421052 t=48101
fan kui 	反饋	c=12 d=1.037e-45 t=48101
fan lai fu qu 	翻來覆去	c=2 d=4.3916e-08 t=48101
fan le 	返了	c=1 d=2.57895e-28 t=48101
fan li 	返利	c=4 d=3.73339 t=40865
fan qiang 	翻牆	c=2 d=0.737123 t=48101
fan shi lin 	凡士林	c=1 d=1.32855e-48 t=48101
fan suo 	繁瑣	c=1 d=3.02891e-67 t=48101
fan wei 	範圍	c=1 d=1 t=47123
fan xiang 	反向	c=5 d=5.4485e-05 t=48101
fan xiang dai li 	反向代理	c=1 d=0.000547581 t=48101
fan xie 	反寫	c=1 d=8.24744e-87 t=48101
fan ye 	翻頁	c=1 d=0.826959 t=48101
fan yi 	翻譯	c=2 d=0.0167392 t=48101
fan ying 	反映	c=1 d=1.46194e-56 t=48101
fan zheng 	反正	c=2 d=2.19003e-46 t=48101
fan zi 	販子	c=0 d=8.23902e-76 t=48101
fang 	房	c=2 d=6.32682e-78 t=48101
fang 	放	c=18 d=1.08426 t=48101
fang 	方	c=2 d=1.26573e-37 t=48101
fang 	防	c=1 d=0.0017643 t=48101
fang an 	方案	c=48 d=1.8167 t=48101
fang an yi 	方案一	c=1 d=9.61249e-36 t=48101
fang bei 	防備	c=1 d=9.26894e-49 t=48101
fang bian 	方便	c=7 d=1.09492e-08 t=48101
fang chu lai 	放出來	c=2 d=1.4787e-81 t=48101
fang da 	放大	c=13 d=0.00391086 t=48101
fang dao 	放到	c=2 d=3.09977e-45 t=48101
fang de 	方的	c=1 d=8.37948e-68 t=48101
fang dou 	防抖	c=2 d=1.00731e-79 t=48101
fang fa 	方法	c=35 d=0.0644454 t=48101
fang fu 	彷彿	c=1 d=4.77408e-67 t=48101
fang ge 	放個	c=1 d=6.73064e-49 t=48101
fang hu 	防護	c=1 d=3.56051e-87 t=48101
fang huo qiang 	防火牆	c=3 d=0.375311 t=48101
fang jian 	房間	c=1 d=1.03986e-48 t=48101
fang jian hao 	房間號	c=1 d=2.25236e-82 t=48101
fang ke 	訪客	c=1 d=3.73745e-40 t=48101
fang mian 	方面	c=4 d=6.65595e-06 t=48101
fang qi 	放棄	c=1 d=2.4607e-64 t=48101
fang ru 	放入	c=3 d=0.00425356 t=48101
fang shang 	放上	c=2 d=3.16314e-74 t=48101
fang shi 	方式	c=17 d=0.26054 t=48101
fang ti 	方體	c=0 d=2.28803e-62 t=48101
fang wei 	方偉	c=1 d=3.46363e-86 t=48101
fang wen 	訪問	c=23 d=2.30827 t=48101
fang xia 	放下	c=1 d=4.76936e-26 t=48101
fang xiang 	方向	c=2 d=1.99493e-58 t=48101
fang xin 	放心	c=5 d=1.96561 t=46259
fang xing 	方形	c=2 d=9.30597e-79 t=48101
fang yu 	防禦	c=1 d=1.6903e-87 t=48101
fang zai 	放在	c=6 d=1.09001e-14 t=48101
fang zhao 	仿照	c=1 d=1.68771e-69 t=48101
fang zhi 	放置	c=2 d=1 t=46369
fang zhi 	防止	c=2 d=0.946485 t=48101
fang zi 	房子	c=1 d=2.87023e-81 t=48101
fei 	肥	c=1 d=6.64872e-52 t=48101
fei 	費	c=1 d=0.650509 t=48101
fei 	非	c=11 d=0.5789 t=48101
fei 	飛	c=5 d=0.0437178 t=48101
fei bi xu 	非必需	c=1 d=1.13485e-47 t=48101
fei chang 	非常	c=38 d=0.211433 t=48101
fei ga dian fan guo 	飛噶電飯鍋	c=1 d=1.00181e-80 t=48101
fei guo 	飛過	c=1 d=1.37774e-64 t=48101
fei ji 	飛機	c=6 d=1.11453e-11 t=48101
fei ji chang 	飛機場	c=1 d=3.68369e-46 t=48101
fei kong 	非空	c=1 d=1 t=45946
fei wen zheng 	飛蚊症	c=1 d=4.72899e-73 t=48101
fei ying 	飛鷹	c=1 d=1.6892e-50 t=48101
fei yong 	費用	c=3 d=0.000202454 t=48101
fen 	份	c=5 d=1.17347e-29 t=48101
fen 	分	c=11 d=0.0142642 t=48101
fen bian lv 	分辨率	c=1 d=7.05242e-69 t=48101
fen bie 	分別	c=1 d=1 t=46362
fen bu qing 	分不清	c=1 d=4.56168e-61 t=48101
fen cheng 	分成	c=1 d=2.0857e-60 t=48101
fen ci 	分詞	c=2 d=0.377437 t=48101
fen di 	粉底	c=1 d=1 t=41625
fen dian 	分店	c=1 d=1.2625e-07 t=48101
fen fa 	分發	c=2 d=6.18954e-63 t=48101
fen fang 	分房	c=1 d=1.68135e-54 t=48101
fen gan 	粉幹	c=1 d=4.54588e-79 t=48101
fen ge 	分割	c=1 d=1.74509e-80 t=48101
fen gong si 	分公司	c=5 d=1.16457e-57 t=48101
fen hao 	分號	c=2 d=1.98511 t=46081
fen jie 	分解	c=1 d=2.31425e-48 t=48101
fen kai 	分開	c=2 d=6.40521e-46 t=48101
fen le 	分了	c=1 d=6.30474e-68 t=48101
fen le mei 	分了沒	c=1 d=4.01801e-68 t=48101
fen lei 	分類	c=7 d=2.28788e-60 t=48101
fen li 	分離	c=1 d=5.22634e-73 t=48101
fen nu 	憤怒	c=7 d=5.26996 t=48037
fen qu 	分區	c=2 d=1.71725 t=48101
fen san 	分散	c=1 d=6.89141e-62 t=48101
fen shu 	分數	c=4 d=2.85173e-05 t=48101
fen si 	粉絲	c=4 d=5.57752e-44 t=48101
fen wei 	分爲	c=3 d=1.83533e-59 t=48101
fen xi 	分析	c=2 d=1.39937e-12 t=48101
fen xiang 	分享	c=5 d=6.46989e-62 t=48101
fen xiang chu qu 	分享出去	c=1 d=9.61054e-63 t=48101
fen xin 	分心	c=1 d=3.15691e-54 t=48101
fen xing 	分行	c=1 d=3.14117e-54 t=48101
fen ye 	分頁	c=4 d=3.88878e-07 t=48101
fen ying 	粉英	c=1 d=2.44551e-50 t=48101
fen zhi 	分支	c=2 d=1.49355e-43 t=48101
fen zhong 	分鐘	c=22 d=0.0491239 t=48101
feng 	封	c=6 d=0.00326557 t=48101
feng 	風	c=1 d=5.04041e-88 t=48101
feng 	馮	c=0 d=7.98031e-83 t=48101
feng bi 	封閉	c=1 d=3.4405e-66 t=48101
feng da wei 	馮大偉	c=2 d=2.67849e-81 t=48101
feng hao 	封號	c=2 d=7.60324e-42 t=48101
feng huo 	烽火	c=0 d=1.60622e-76 t=48101
feng huo ti yu 	烽火體育	c=5 d=8.69501e-75 t=48101
feng jin 	封禁	c=5 d=1.23617e-82 t=48101
feng kou 	風口	c=1 d=8.31617e-67 t=48101
feng kuang 	瘋狂	c=2 d=2.11362e-40 t=48101
feng le 	封了	c=5 d=1.1802e-08 t=48101
feng mian 	封面	c=2 d=7.29402e-45 t=48101
feng sha 	封殺	c=1 d=1 t=41130
feng shi 	風溼	c=2 d=1.03619e-87 t=48101
feng shuo 	豐碩	c=8 d=0.00161053 t=48101
feng tou 	風投	c=1 d=5.88386e-27 t=48101
feng xian 	風險	c=4 d=4.75058e-09 t=48101
feng zheng 	風箏	c=1 d=9.02414e-87 t=48101
fou 	否	c=1 d=1.22432e-28 t=48101
fou ze 	否則	c=9 d=0.033937 t=48101
fu 	付	c=1 d=1 t=44171
fu 	富	c=1 d=6.88672e-54 t=48101
fu 	服	c=2 d=9.01398e-15 t=48101
fu 	父	c=1 d=2.90388e-70 t=48101
fu 	福	c=1 d=1.62772e-55 t=48101
fu 	負	c=1 d=4.19281e-69 t=48101
fu 	附	c=2 d=3.79866e-60 t=48101
fu ben 	副本	c=1 d=1 t=47641
fu chou 	復仇	c=1 d=1 t=45622
fu dai 	附帶	c=1 d=1.0684e-43 t=48101
fu dong 	浮動	c=1 d=8.29025e-60 t=48101
fu du 	幅度	c=1 d=2.7668e-61 t=48101
